image_path,true_label,predicted_label,confidence,probability
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0552/frame0.jpg,fake,real,0.515171229839325,0.48482877016067505
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0552/frame1.jpg,fake,real,0.5332880020141602,0.46671196818351746
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0553/frame0.jpg,fake,real,0.5206558704376221,0.47934409976005554
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0554/frame0.jpg,fake,real,0.5358260273933411,0.46417397260665894
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0555/frame0.jpg,fake,real,0.5035175085067749,0.4964824914932251
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0555/frame1.jpg,fake,real,0.5307079553604126,0.469292014837265
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0556/frame0.jpg,fake,real,0.5162873268127441,0.48371267318725586
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0556/frame1.jpg,fake,real,0.5488005876541138,0.4511994421482086
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0557/frame1.jpg,fake,real,0.5993833541870117,0.40061667561531067
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0558/frame0.jpg,fake,real,0.5223515033721924,0.4776484966278076
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0558/frame1.jpg,fake,real,0.6589506268501282,0.3410493731498718
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0559/frame1.jpg,fake,real,0.5769729614257812,0.42302700877189636
C:/Personal/df/data_preprocessing/fakeavceleb_audios_videos/video_frame_faces/fake/sample_0560/frame1.jpg,fake,real,0.5508395433425903,0.44916045665740967
